size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
4194304;4;0.034194;0.164844;0.245806;0.28;0.90;0.08
4194304;4;0.033628;0.154543;0.226372;0.26;0.88;0.02
4194304;4;0.036937;0.146928;0.213063;0.25;0.84;0.02
4194304;4;0.033678;0.155406;0.226322;0.26;0.91;0.00
4194304;4;0.035050;0.149872;0.21495;0.25;0.82;0.03
4194304;4;0.032207;0.158857;0.237793;0.27;0.86;0.07
4194304;4;0.038243;0.154113;0.231757;0.27;0.90;0.04
4194304;4;0.033808;0.157991;0.226192;0.26;0.86;0.06
4194304;4;0.033811;0.146874;0.206189;0.24;0.82;0.01
4194304;4;0.034900;0.147016;0.2051;0.24;0.79;0.04
