size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
16777216;2;0.148243;1.442384;1.581757;1.73;3.15;0.03
16777216;2;0.140584;1.455167;1.609416;1.75;3.21;0.03
16777216;2;0.145088;1.435190;1.574912;1.72;3.14;0.04
16777216;2;0.146962;1.434155;1.563038;1.71;3.15;0.01
16777216;2;0.148118;1.440349;1.581882;1.73;3.17;0.03
16777216;2;0.153870;1.675105;1.83613;1.99;3.67;0.04
16777216;2;0.149000;1.444008;1.571;1.72;3.12;0.06
16777216;2;0.150680;1.447254;1.58932;1.74;3.20;0.02
16777216;2;0.161237;1.444550;1.588763;1.75;3.17;0.05
16777216;2;0.146868;1.438329;1.573132;1.72;3.13;0.05
