size;processes;read_time;merge_time;elapsed;user;sys
65536;0;0.000416;0.004739;0.01;0.00;0.00
65536;0;0.000131;0.004700;0.00;0.00;0.00
65536;0;0.000403;0.004649;0.01;0.00;0.00
65536;0;0.000128;0.004689;0.00;0.00;0.00
65536;0;0.000131;0.004662;0.00;0.00;0.00
65536;0;0.000388;0.004712;0.01;0.00;0.00
65536;0;0.000237;0.005279;0.01;0.00;0.00
65536;0;0.000178;0.004701;0.01;0.00;0.00
65536;0;0.000427;0.004719;0.01;0.00;0.00
65536;0;0.000430;0.004699;0.01;0.00;0.00
65536;0;0.000174;0.004691;0.01;0.00;0.00
65536;0;0.000123;0.004700;0.00;0.00;0.00
65536;0;0.000397;0.004725;0.01;0.00;0.00
65536;0;0.000129;0.004764;0.01;0.00;0.00
65536;0;0.000417;0.004677;0.01;0.00;0.00
65536;0;0.000508;0.004677;0.01;0.00;0.00
65536;0;0.000416;0.004857;0.01;0.00;0.00
65536;0;0.000401;0.004725;0.01;0.00;0.00
65536;0;0.000405;0.004715;0.01;0.00;0.00
65536;0;0.000390;0.004685;0.01;0.00;0.00
65536;0;0.000131;0.004665;0.00;0.00;0.00
65536;0;0.000395;0.004762;0.01;0.00;0.00
65536;0;0.000125;0.004745;0.00;0.00;0.00
65536;0;0.000420;0.004660;0.01;0.00;0.00
65536;0;0.000392;0.004718;0.01;0.00;0.00
65536;0;0.000397;0.004713;0.01;0.00;0.00
65536;0;0.000391;0.004675;0.01;0.00;0.00
65536;0;0.000399;0.004843;0.01;0.00;0.00
65536;0;0.000124;0.004719;0.00;0.00;0.00
65536;0;0.000395;0.004677;0.01;0.00;0.00
65536;0;0.000129;0.004673;0.00;0.00;0.00
65536;0;0.000390;0.004714;0.01;0.00;0.00
65536;0;0.000406;0.004710;0.01;0.00;0.00
65536;0;0.000131;0.004684;0.00;0.00;0.00
65536;0;0.000401;0.004726;0.01;0.00;0.00
65536;0;0.000398;0.004651;0.01;0.00;0.00
65536;0;0.000386;0.004680;0.01;0.00;0.00
65536;0;0.000397;0.004797;0.01;0.00;0.00
65536;0;0.000385;0.004732;0.01;0.00;0.00
65536;0;0.000376;0.004688;0.01;0.00;0.00
65536;0;0.000388;0.004769;0.01;0.00;0.00
65536;0;0.000396;0.004880;0.01;0.00;0.00
65536;0;0.000397;0.004700;0.01;0.00;0.00
65536;0;0.000499;0.004841;0.01;0.00;0.00
65536;0;0.000159;0.004663;0.01;0.00;0.00
65536;0;0.000397;0.004727;0.01;0.00;0.00
65536;0;0.000412;0.004838;0.01;0.00;0.00
65536;0;0.000136;0.004705;0.01;0.00;0.00
65536;0;0.000429;0.004634;0.01;0.00;0.00
65536;0;0.000140;0.004687;0.01;0.00;0.00
65536;0;0.000454;0.004689;0.01;0.00;0.00
65536;0;0.000445;0.004652;0.01;0.00;0.00
65536;0;0.000446;0.004620;0.01;0.00;0.00
65536;0;0.000167;0.004661;0.01;0.00;0.00
65536;0;0.000149;0.004667;0.01;0.00;0.00
65536;0;0.000123;0.004685;0.00;0.00;0.00
65536;0;0.000196;0.004748;0.01;0.00;0.00
65536;0;0.000142;0.005176;0.01;0.00;0.00
65536;0;0.000176;0.004712;0.01;0.00;0.00
65536;0;0.000154;0.004636;0.01;0.00;0.00
65536;0;0.000120;0.004712;0.01;0.00;0.00
65536;0;0.000139;0.004623;0.00;0.00;0.00
65536;0;0.000122;0.004621;0.00;0.00;0.00
65536;0;0.000127;0.004585;0.00;0.00;0.00
65536;0;0.000397;0.004697;0.01;0.00;0.00
65536;0;0.000141;0.004633;0.00;0.00;0.00
65536;0;0.000125;0.004623;0.01;0.00;0.00
65536;0;0.000434;0.004655;0.01;0.00;0.00
65536;0;0.000132;0.004627;0.01;0.00;0.00
65536;0;0.000121;0.004666;0.01;0.00;0.00
65536;0;0.000426;0.004663;0.01;0.00;0.00
65536;0;0.000439;0.004726;0.01;0.00;0.00
65536;0;0.000134;0.004616;0.00;0.00;0.00
65536;0;0.000122;0.004644;0.00;0.00;0.00
65536;0;0.000428;0.004636;0.01;0.00;0.00
65536;0;0.000401;0.004693;0.01;0.00;0.00
65536;0;0.000130;0.004649;0.00;0.00;0.00
65536;0;0.000418;0.004666;0.01;0.00;0.00
65536;0;0.000140;0.004613;0.00;0.00;0.00
65536;0;0.000131;0.004597;0.00;0.00;0.00
65536;0;0.000136;0.004616;0.01;0.00;0.00
65536;0;0.000403;0.004704;0.01;0.00;0.00
65536;0;0.000142;0.004666;0.00;0.00;0.00
65536;0;0.000122;0.004695;0.01;0.00;0.00
65536;0;0.000156;0.004688;0.01;0.00;0.00
65536;0;0.000406;0.004624;0.01;0.00;0.00
65536;0;0.000408;0.004644;0.01;0.00;0.00
65536;0;0.000415;0.004652;0.01;0.00;0.00
65536;0;0.000386;0.004658;0.01;0.00;0.00
65536;0;0.000142;0.004658;0.01;0.00;0.00
65536;0;0.000412;0.004635;0.01;0.00;0.00
65536;0;0.000474;0.004684;0.01;0.00;0.00
65536;0;0.000133;0.004653;0.00;0.00;0.00
65536;0;0.000395;0.004644;0.01;0.00;0.00
65536;0;0.000424;0.004604;0.01;0.00;0.00
65536;0;0.000403;0.004694;0.01;0.00;0.00
65536;0;0.000153;0.004681;0.01;0.00;0.00
65536;0;0.000406;0.004653;0.01;0.00;0.00
65536;0;0.000146;0.004631;0.00;0.00;0.00
65536;0;0.000395;0.004669;0.01;0.00;0.00
