size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
67108864;8;0.580656;1.992900;3.169344;3.75;25.02;0.46
67108864;8;0.578918;1.982783;3.181082;3.76;25.12;0.47
67108864;8;0.548884;1.949478;3.181116;3.73;25.03;0.58
67108864;8;0.501906;1.947652;3.148094;3.65;24.80;0.53
67108864;8;0.439241;1.965774;3.180759;3.62;25.00;0.55
67108864;8;0.624497;1.939896;3.155503;3.78;24.97;0.74
67108864;8;0.413620;1.945677;3.20638;3.62;25.28;0.50
67108864;8;0.431974;1.922127;3.198026;3.63;25.17;0.54
67108864;8;0.446605;1.948701;3.093395;3.54;24.24;0.63
67108864;8;0.596669;1.951936;3.153331;3.75;24.86;0.50
