Version;Process;Read time;Local sort;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.10492;-;11.98671;11.98000;0.08286;12.86000;1;1
Parallel;2;0.65373;6.46924;7.08435;14.23857;0.13857;7.71167;1.69200;0.84600
Parallel;4;0.55111;3.70081;4.79355;19.02800;0.25000;5.33143;2.50059;0.62515
Parallel;8;0.51305;1.98049;3.19197;25.18571;0.51200;3.70429;3.75527;0.46941
Parallel;16;1.00177;1.62700;4.39134;56.58833;1.16286;5.38000;2.72963;0.17060
