size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
1048576;16;0.623514;0.005129;0.376486;1.00;11.18;0.48
1048576;16;0.667390;0.004844;0.39261;1.06;12.01;0.32
1048576;16;0.648566;0.004699;0.351434;1.00;11.33;0.37
1048576;16;0.565436;0.005002;0.364564;0.93;10.47;0.32
1048576;16;0.567382;0.004932;0.402618;0.97;10.92;0.38
1048576;16;0.448371;0.004962;0.501629;0.95;10.57;0.49
1048576;16;0.578676;0.004863;0.341324;0.92;10.46;0.33
1048576;16;0.618573;0.004568;0.381427;1.00;11.43;0.24
1048576;16;0.624669;0.004936;0.395331;1.02;11.64;0.35
1048576;16;0.432751;0.004946;0.467249;0.90;10.14;0.34
1048576;16;0.533541;0.004762;0.356459;0.89;10.07;0.35
1048576;16;0.608739;0.004858;0.481261;1.09;12.35;0.44
1048576;16;0.598749;0.004808;0.441251;1.04;11.56;0.46
1048576;16;0.593495;0.004800;0.346505;0.94;10.72;0.26
1048576;16;0.519354;0.004946;0.500646;1.02;11.61;0.31
1048576;16;0.679515;0.004731;0.380485;1.06;12.04;0.37
1048576;16;0.518623;0.004980;0.331377;0.85;9.67;0.27
1048576;16;0.460404;0.004937;0.389596;0.85;9.56;0.28
1048576;16;0.708800;0.004783;0.3012;1.01;11.49;0.34
1048576;16;0.599201;0.004879;0.400799;1.00;11.27;0.35
1048576;16;0.558741;0.004882;0.391259;0.95;10.78;0.25
1048576;16;0.483306;0.005102;0.476694;0.96;10.84;0.38
1048576;16;0.569431;0.004781;0.400569;0.97;10.95;0.31
1048576;16;0.586681;0.004932;0.363319;0.95;10.76;0.34
1048576;16;0.507427;0.005097;0.332573;0.84;9.45;0.32
1048576;16;0.607970;0.004922;0.37203;0.98;10.93;0.30
1048576;16;0.587300;0.004838;0.5127;1.10;12.56;0.31
1048576;16;0.487254;0.004851;0.442746;0.93;10.37;0.31
1048576;16;0.536871;0.005021;0.423129;0.96;10.96;0.33
1048576;16;0.529311;0.004806;0.500689;1.03;11.60;0.48
1048576;16;0.548696;0.004968;0.431304;0.98;10.98;0.31
1048576;16;0.718064;0.004833;0.611936;1.33;15.13;0.48
1048576;16;0.567374;0.005109;0.622626;1.19;13.56;0.45
1048576;16;0.446680;0.004965;0.40332;0.85;9.55;0.32
1048576;16;0.586655;0.004835;0.553345;1.14;12.84;0.51
1048576;16;0.526282;0.004958;0.383718;0.91;10.21;0.31
1048576;16;0.489858;0.005052;0.420142;0.91;10.22;0.35
1048576;16;0.529313;0.004955;0.390687;0.92;10.46;0.31
1048576;16;0.779337;0.004904;0.410663;1.19;13.53;0.43
1048576;16;0.616197;0.004870;0.373803;0.99;11.05;0.49
1048576;16;0.616900;0.004843;0.3931;1.01;11.38;0.33
1048576;16;0.604688;0.004971;0.485312;1.09;12.44;0.37
1048576;16;0.737244;0.004848;0.462756;1.20;13.53;0.41
