Version;Process;Read time;Local sort;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.00224;-;0.14464;0.14000;0.00000;0.16000;1;1
Parallel;2;0.01237;0.06891;0.08557;0.16533;0.00278;0.10000;1.69026;0.84513
Parallel;4;0.01111;0.03308;0.05889;0.19233;0.02684;0.07000;2.45613;0.61403
Parallel;8;0.01390;0.01852;0.05629;0.32859;0.10945;0.07000;2.56980;0.32123
Parallel;16;0.56295;0.00984;0.40532;11.09266;0.35409;0.98742;0.35686;0.02230
