size;processes;read_time;merge_time;elapsed;user;sys
1048576;2;0.011472;0.033806;0.06;0.09;0.00
1048576;2;0.011231;0.033833;0.06;0.09;0.00
1048576;2;0.010679;0.033934;0.06;0.07;0.01
1048576;2;0.010733;0.034139;0.06;0.08;0.01
1048576;2;0.012010;0.033918;0.06;0.10;0.00
1048576;2;0.012516;0.040420;0.06;0.10;0.01
1048576;2;0.012231;0.034249;0.06;0.08;0.00
1048576;2;0.012865;0.034989;0.06;0.10;0.00
1048576;2;0.012949;0.040979;0.07;0.09;0.01
1048576;2;0.011759;0.034269;0.06;0.09;0.00
1048576;2;0.012354;0.034438;0.06;0.07;0.02
1048576;2;0.011508;0.034271;0.06;0.07;0.02
1048576;2;0.012914;0.034429;0.06;0.08;0.01
1048576;2;0.012329;0.034506;0.06;0.09;0.00
1048576;2;0.012462;0.034393;0.06;0.09;0.00
1048576;2;0.012415;0.034490;0.06;0.08;0.00
1048576;2;0.013064;0.034518;0.06;0.10;0.00
1048576;2;0.011393;0.034384;0.06;0.07;0.01
1048576;2;0.011499;0.034283;0.06;0.08;0.01
1048576;2;0.012661;0.034273;0.06;0.08;0.01
1048576;2;0.012396;0.034423;0.06;0.09;0.00
1048576;2;0.011466;0.034252;0.06;0.08;0.00
1048576;2;0.012947;0.034376;0.06;0.09;0.00
1048576;2;0.012669;0.040901;0.07;0.10;0.01
1048576;2;0.012509;0.034326;0.06;0.08;0.00
1048576;2;0.011422;0.038576;0.06;0.09;0.01
1048576;2;0.012299;0.034302;0.06;0.08;0.01
1048576;2;0.012921;0.034460;0.06;0.08;0.01
1048576;2;0.012078;0.034253;0.06;0.09;0.00
1048576;2;0.012643;0.034376;0.06;0.09;0.00
1048576;2;0.011859;0.034324;0.06;0.09;0.00
1048576;2;0.012791;0.034340;0.06;0.09;0.00
1048576;2;0.012743;0.034531;0.06;0.09;0.00
1048576;2;0.012396;0.034698;0.06;0.08;0.01
1048576;2;0.012484;0.034373;0.06;0.10;0.00
1048576;2;0.012120;0.034327;0.06;0.08;0.01
1048576;2;0.012590;0.034243;0.06;0.09;0.00
1048576;2;0.012038;0.034282;0.06;0.08;0.00
1048576;2;0.012176;0.034257;0.06;0.08;0.01
1048576;2;0.012461;0.034480;0.06;0.09;0.00
1048576;2;0.012600;0.034535;0.06;0.08;0.01
1048576;2;0.012556;0.037372;0.06;0.09;0.01
1048576;2;0.012127;0.034440;0.06;0.08;0.01
1048576;2;0.012614;0.034277;0.06;0.09;0.00
1048576;2;0.012663;0.034368;0.06;0.09;0.00
1048576;2;0.012136;0.034389;0.06;0.08;0.01
1048576;2;0.012392;0.034203;0.06;0.10;0.00
1048576;2;0.012424;0.034212;0.06;0.07;0.02
1048576;2;0.012622;0.034368;0.06;0.09;0.00
1048576;2;0.011457;0.034305;0.06;0.09;0.00
1048576;2;0.013018;0.040935;0.07;0.09;0.01
1048576;2;0.011845;0.034398;0.06;0.08;0.01
1048576;2;0.012897;0.034491;0.06;0.08;0.01
1048576;2;0.012936;0.034639;0.06;0.08;0.01
1048576;2;0.012985;0.034249;0.06;0.06;0.03
1048576;2;0.011784;0.034671;0.06;0.08;0.01
1048576;2;0.012280;0.034289;0.06;0.08;0.01
1048576;2;0.012730;0.034362;0.06;0.09;0.00
1048576;2;0.012597;0.034334;0.06;0.09;0.00
1048576;2;0.012795;0.034357;0.06;0.09;0.00
1048576;2;0.011609;0.034185;0.06;0.09;0.00
1048576;2;0.012755;0.040389;0.07;0.10;0.00
1048576;2;0.012960;0.040870;0.07;0.11;0.00
1048576;2;0.011427;0.034306;0.06;0.07;0.02
1048576;2;0.011968;0.034826;0.06;0.10;0.00
1048576;2;0.012770;0.034328;0.06;0.08;0.01
1048576;2;0.011725;0.034313;0.06;0.08;0.01
1048576;2;0.012290;0.034286;0.06;0.08;0.01
1048576;2;0.012099;0.034368;0.06;0.07;0.01
1048576;2;0.012631;0.034534;0.06;0.08;0.01
1048576;2;0.012444;0.034260;0.06;0.09;0.00
1048576;2;0.012671;0.034204;0.06;0.09;0.00
1048576;2;0.012645;0.041032;0.07;0.08;0.02
1048576;2;0.012352;0.034121;0.06;0.06;0.02
1048576;2;0.012054;0.034415;0.06;0.07;0.01
1048576;2;0.012341;0.034218;0.06;0.08;0.01
1048576;2;0.011911;0.034532;0.06;0.10;0.00
1048576;2;0.012589;0.034335;0.06;0.07;0.02
1048576;2;0.011917;0.034185;0.06;0.08;0.00
1048576;2;0.012784;0.034357;0.06;0.09;0.00
