size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
1048576;16;0.409876;0.011540;0.420124;0.83;9.30;0.35
1048576;16;0.456577;0.012876;0.513423;0.97;10.98;0.31
1048576;16;0.397323;0.011668;0.352677;0.75;8.37;0.34
1048576;16;0.559200;0.011487;0.3808;0.94;10.53;0.39
1048576;16;0.502902;0.011561;0.417098;0.92;10.42;0.35
1048576;16;0.536794;0.012904;0.493206;1.03;11.67;0.41
1048576;16;0.426180;0.012832;0.41382;0.84;9.46;0.29
1048576;16;0.548620;0.011596;0.40138;0.95;10.71;0.37
1048576;16;0.588885;0.011673;0.371115;0.96;10.76;0.42
1048576;16;0.571418;0.012980;0.438582;1.01;11.53;0.30
1048576;16;0.628731;0.016702;0.421269;1.05;11.86;0.40
1048576;16;0.537931;0.011657;0.432069;0.97;11.00;0.30
1048576;16;0.576758;0.012896;0.443242;1.02;11.58;0.38
1048576;16;0.472145;0.015259;0.457855;0.93;10.65;0.29
1048576;16;0.508293;0.011541;0.401707;0.91;10.06;0.43
1048576;16;0.397413;0.011601;0.452587;0.85;9.68;0.27
1048576;16;0.557426;0.011738;0.622574;1.18;13.50;0.33
1048576;16;0.578030;0.011521;0.36197;0.94;10.27;0.51
1048576;16;0.589822;0.016595;0.550178;1.14;12.99;0.39
1048576;16;0.499392;0.012762;0.500608;1.00;11.12;0.41
1048576;16;0.546601;0.012247;0.543399;1.09;12.23;0.49
1048576;16;0.434810;0.016008;0.41519;0.85;9.63;0.36
1048576;16;0.507279;0.014290;0.432721;0.94;10.66;0.34
1048576;16;0.609376;0.011405;0.360624;0.97;10.90;0.48
1048576;16;0.576746;0.014098;0.363254;0.94;10.59;0.35
1048576;16;0.706147;0.012879;0.413853;1.12;12.62;0.43
1048576;16;0.547310;0.014051;0.37269;0.92;10.41;0.36
1048576;16;0.496847;0.015475;0.353153;0.85;9.74;0.24
1048576;16;0.495374;0.011329;0.424626;0.92;10.52;0.23
1048576;16;0.638370;0.011833;0.53163;1.17;13.37;0.32
1048576;16;0.555438;0.013389;0.404562;0.96;10.72;0.43
1048576;16;0.538089;0.011620;0.401911;0.94;10.64;0.35
1048576;16;0.377132;0.012922;0.352868;0.73;8.00;0.32
1048576;16;0.417840;0.014225;0.37216;0.79;8.86;0.34
1048576;16;0.578786;0.011622;0.361214;0.94;10.68;0.32
1048576;16;0.469949;0.012945;0.390051;0.86;9.68;0.31
1048576;16;0.418539;0.011521;0.391461;0.81;8.92;0.41
1048576;16;0.696654;0.011672;0.483346;1.18;13.53;0.39
1048576;16;0.497897;0.013151;0.392103;0.89;9.99;0.36
1048576;16;0.529990;0.012781;0.40001;0.93;10.56;0.35
1048576;16;0.507889;0.011907;0.482111;0.99;11.32;0.29
1048576;16;0.476782;0.016007;0.363218;0.84;9.40;0.35
1048576;16;0.560527;0.013080;0.479473;1.04;11.74;0.40
1048576;16;0.530226;0.014174;0.429774;0.96;10.96;0.29
1048576;16;0.479380;0.011604;0.37062;0.85;9.48;0.35
1048576;16;0.428682;0.015481;0.351318;0.78;8.66;0.38
1048576;16;0.587602;0.011576;0.512398;1.10;12.49;0.40
1048576;16;0.616132;0.013564;0.453868;1.07;12.03;0.46
1048576;16;0.478044;0.011624;0.441956;0.92;10.46;0.24
1048576;16;0.557991;0.011689;0.352009;0.91;10.05;0.52
1048576;16;0.491007;0.015535;0.478993;0.97;11.13;0.27
1048576;16;0.387938;0.017058;0.392062;0.78;8.64;0.37
1048576;16;0.571271;0.011719;0.408729;0.98;10.97;0.44
1048576;16;0.538856;0.012729;0.481144;1.02;11.49;0.40
1048576;16;0.592054;0.015383;0.447946;1.04;11.79;0.36
1048576;16;0.392564;0.011774;0.467436;0.86;9.71;0.28
1048576;16;0.497349;0.014040;0.312651;0.81;9.22;0.25
1048576;16;0.446024;0.013610;0.543976;0.99;11.37;0.27
1048576;16;0.428633;0.012891;0.471367;0.90;10.01;0.35
1048576;16;0.488176;0.011626;0.471824;0.96;10.82;0.32
1048576;16;0.549281;0.014117;0.410719;0.96;10.92;0.30
1048576;16;0.584606;0.011529;0.405394;0.99;11.01;0.50
1048576;16;0.575378;0.011707;0.394622;0.97;11.03;0.39
1048576;16;0.410268;0.011536;0.369732;0.78;8.71;0.37
1048576;16;0.568033;0.011625;0.381967;0.95;10.70;0.43
1048576;16;0.674606;0.011530;0.555394;1.23;13.84;0.49
1048576;16;0.541001;0.013605;0.378999;0.92;10.39;0.32
1048576;16;0.479119;0.011762;0.430881;0.91;10.17;0.42
1048576;16;0.400637;0.017311;0.489363;0.89;9.91;0.36
1048576;16;0.528563;0.013057;0.511437;1.04;11.89;0.30
1048576;16;0.569856;0.012799;0.410144;0.98;11.10;0.35
1048576;16;0.612989;0.013029;0.357011;0.97;10.97;0.33
1048576;16;0.509235;0.011553;0.350765;0.86;9.76;0.31
1048576;16;0.368643;0.012831;0.411357;0.78;8.88;0.22
1048576;16;0.446118;0.015510;0.433882;0.88;10.01;0.24
1048576;16;0.500998;0.014226;0.389002;0.89;9.99;0.38
