Version;Process;Read time;Local sort;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.00709;-;0.64854;0.64400;0.00375;0.70778;1;1
Parallel;2;0.03908;0.30304;0.34092;0.67333;0.01000;0.38000;1.86257;0.93129
Parallel;4;0.03299;0.15093;0.21874;0.85600;0.03375;0.24571;2.88049;0.72012
Parallel;8;0.03369;0.08524;0.18567;1.33333;0.11250;0.22000;3.21717;0.40215
Parallel;16;0.58724;0.06204;0.57621;12.75571;0.36500;1.15000;0.61546;0.03847
