Version;Process;Read time;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.02046;0.07574;0.17870;0.00361;0.11189;1;1
Parallel;2;0.04218;0.03726;0.24016;0.03218;0.10568;1.90742;0.95371
Parallel;4;0.07435;0.02167;0.40408;0.10746;0.13492;3.87767;0.96942
Parallel;8;1.55463;0.01404;21.29514;0.58822;1.97087;6.66729;0.83341
Parallel;16;0.00238;0.14446;0.14000;0.00000;0.16000;10.29042;0.64315
