size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
262144;8;0.006985;0.004943;0.033015;0.04;0.13;0.09
262144;8;0.007442;0.004893;0.032558;0.04;0.12;0.10
262144;8;0.007533;0.005184;0.032467;0.04;0.11;0.11
262144;8;0.006882;0.004833;0.033118;0.04;0.10;0.10
262144;8;0.007225;0.004787;0.032775;0.04;0.10;0.12
262144;8;0.008733;0.004970;0.031267;0.04;0.09;0.14
262144;8;0.007887;0.004788;0.032113;0.04;0.11;0.11
262144;8;0.007531;0.004873;0.032469;0.04;0.15;0.08
262144;8;0.007668;0.005396;0.032332;0.04;0.13;0.10
262144;8;0.008624;0.005341;0.031376;0.04;0.13;0.11
262144;8;0.007873;0.005307;0.032127;0.04;0.07;0.16
262144;8;0.007837;0.005342;0.032163;0.04;0.20;0.04
262144;8;0.007255;0.004864;0.032745;0.04;0.09;0.14
262144;8;0.007322;0.004792;0.032678;0.04;0.11;0.10
262144;8;0.007682;0.004858;0.032318;0.04;0.12;0.10
262144;8;0.008395;0.005095;0.031605;0.04;0.07;0.17
262144;8;0.007122;0.005020;0.032878;0.04;0.12;0.10
262144;8;0.007110;0.005101;0.03289;0.04;0.10;0.12
262144;8;0.007550;0.005297;0.03245;0.04;0.13;0.10
262144;8;0.007245;0.004847;0.032755;0.04;0.15;0.07
262144;8;0.007176;0.004866;0.032824;0.04;0.12;0.09
262144;8;0.007773;0.005199;0.032227;0.04;0.09;0.14
262144;8;0.007342;0.004908;0.032658;0.04;0.20;0.02
262144;8;0.008161;0.004767;0.031839;0.04;0.07;0.15
262144;8;0.007450;0.005110;0.03255;0.04;0.09;0.11
262144;8;0.007590;0.005008;0.03241;0.04;0.12;0.11
262144;8;0.006786;0.004819;0.033214;0.04;0.13;0.09
262144;8;0.007058;0.004894;0.032942;0.04;0.13;0.09
262144;8;0.007056;0.005005;0.032944;0.04;0.12;0.10
262144;8;0.006932;0.004941;0.033068;0.04;0.12;0.10
262144;8;0.008359;0.005137;0.031641;0.04;0.14;0.09
262144;8;0.007748;0.005163;0.032252;0.04;0.11;0.11
262144;8;0.007737;0.004882;0.032263;0.04;0.09;0.13
262144;8;0.007100;0.005104;0.0329;0.04;0.14;0.08
262144;8;0.007938;0.005027;0.032062;0.04;0.12;0.10
262144;8;0.006751;0.004998;0.033249;0.04;0.11;0.12
262144;8;0.006835;0.004843;0.033165;0.04;0.11;0.10
262144;8;0.008014;0.005258;0.031986;0.04;0.08;0.17
262144;8;0.008618;0.005105;0.041382;0.05;0.15;0.10
262144;8;0.006885;0.004990;0.033115;0.04;0.08;0.14
262144;8;0.007170;0.004998;0.03283;0.04;0.11;0.10
262144;8;0.007030;0.004962;0.03297;0.04;0.10;0.11
262144;8;0.006813;0.004640;0.033187;0.04;0.09;0.12
262144;8;0.006940;0.004643;0.03306;0.04;0.16;0.04
262144;8;0.007115;0.004892;0.032885;0.04;0.06;0.15
262144;8;0.007098;0.004951;0.032902;0.04;0.11;0.11
262144;8;0.007194;0.004717;0.032806;0.04;0.10;0.12
262144;8;0.007593;0.004675;0.032407;0.04;0.13;0.08
