Version;Process;Read time;Local sort;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.00084;-;0.03459;0.03000;0.00000;0.04000;1;1
Parallel;2;0.00567;0.01793;0.02443;0.04690;0.00295;0.03000;1.41586;0.70793
Parallel;4;0.00548;0.00844;0.02452;0.06292;0.02718;0.03000;1.41056;0.35264
Parallel;8;0.00704;0.00480;0.03291;0.11123;0.10405;0.04000;1.05121;0.13140
Parallel;16;0.40594;0.00275;0.39629;9.09379;0.30746;0.81094;0.08729;0.00546
