size;processes;read_time;merge_time;elapsed;user;sys
262144;4;0.006032;0.003806;0.02;0.03;0.03
262144;4;0.006006;0.003821;0.02;0.04;0.02
262144;4;0.005875;0.003829;0.02;0.03;0.03
262144;4;0.005908;0.003817;0.02;0.04;0.02
262144;4;0.005520;0.003793;0.02;0.04;0.02
262144;4;0.005284;0.003820;0.02;0.04;0.02
262144;4;0.005413;0.003834;0.02;0.03;0.03
262144;4;0.005112;0.004095;0.02;0.03;0.04
262144;4;0.005243;0.003795;0.02;0.04;0.03
262144;4;0.005513;0.003808;0.02;0.03;0.03
262144;4;0.005221;0.003876;0.02;0.03;0.03
262144;4;0.005821;0.003826;0.02;0.04;0.03
262144;4;0.005886;0.003828;0.02;0.03;0.04
262144;4;0.006108;0.003837;0.02;0.03;0.03
262144;4;0.005768;0.003894;0.02;0.03;0.03
262144;4;0.005827;0.003821;0.02;0.05;0.01
262144;4;0.005580;0.003843;0.02;0.03;0.03
262144;4;0.005359;0.004161;0.02;0.05;0.01
262144;4;0.005700;0.003835;0.02;0.07;0.00
262144;4;0.005566;0.003842;0.02;0.06;0.00
262144;4;0.005807;0.003863;0.02;0.05;0.01
262144;4;0.005674;0.003871;0.02;0.05;0.02
262144;4;0.005613;0.003852;0.02;0.07;0.00
262144;4;0.005335;0.003838;0.02;0.06;0.00
262144;4;0.005027;0.003838;0.02;0.06;0.00
262144;4;0.005228;0.003936;0.02;0.07;0.00
262144;4;0.005457;0.004226;0.02;0.07;0.00
262144;4;0.005250;0.003834;0.02;0.06;0.00
262144;4;0.005491;0.003885;0.02;0.05;0.01
262144;4;0.005011;0.003909;0.02;0.05;0.01
262144;4;0.005852;0.003905;0.02;0.03;0.03
262144;4;0.005966;0.003885;0.02;0.07;0.00
262144;4;0.005120;0.003857;0.02;0.06;0.00
262144;4;0.005000;0.004157;0.02;0.07;0.00
262144;4;0.005169;0.003976;0.02;0.07;0.00
262144;4;0.005716;0.004269;0.02;0.06;0.01
262144;4;0.005370;0.004087;0.02;0.06;0.00
262144;4;0.005327;0.004180;0.02;0.04;0.03
262144;4;0.006073;0.003824;0.02;0.07;0.00
262144;4;0.005437;0.003868;0.02;0.05;0.01
262144;4;0.005453;0.003797;0.02;0.03;0.03
262144;4;0.004999;0.003815;0.02;0.07;0.00
262144;4;0.005350;0.003821;0.02;0.05;0.01
262144;4;0.005118;0.003842;0.02;0.05;0.01
262144;4;0.006272;0.003820;0.02;0.07;0.00
262144;4;0.005997;0.003828;0.02;0.00;0.06
262144;4;0.005987;0.003830;0.02;0.00;0.06
262144;4;0.005594;0.003846;0.02;0.00;0.06
262144;4;0.005870;0.003816;0.02;0.02;0.05
262144;4;0.005897;0.003820;0.02;0.00;0.07
262144;4;0.005410;0.003830;0.02;0.00;0.06
262144;4;0.006033;0.003794;0.02;0.00;0.06
262144;4;0.005840;0.003979;0.02;0.04;0.03
262144;4;0.005589;0.003837;0.02;0.04;0.02
262144;4;0.005757;0.004015;0.02;0.05;0.01
262144;4;0.005873;0.003853;0.02;0.04;0.02
262144;4;0.005453;0.004018;0.02;0.04;0.02
262144;4;0.005247;0.003890;0.02;0.04;0.03
262144;4;0.004944;0.003888;0.02;0.06;0.00
262144;4;0.005443;0.003844;0.02;0.04;0.02
262144;4;0.004879;0.003826;0.02;0.03;0.03
262144;4;0.005393;0.004136;0.02;0.04;0.03
262144;4;0.005136;0.003834;0.02;0.04;0.02
262144;4;0.005107;0.003800;0.02;0.03;0.03
262144;4;0.005797;0.003870;0.02;0.03;0.03
262144;4;0.005671;0.004025;0.02;0.04;0.02
262144;4;0.006547;0.003938;0.02;0.05;0.02
262144;4;0.005929;0.004100;0.03;0.05;0.02
262144;4;0.006556;0.004097;0.02;0.06;0.00
262144;4;0.005969;0.003936;0.02;0.07;0.00
262144;4;0.005931;0.003917;0.02;0.05;0.01
262144;4;0.005950;0.003821;0.02;0.05;0.01
262144;4;0.005835;0.003855;0.02;0.05;0.01
262144;4;0.005796;0.003878;0.02;0.05;0.01
262144;4;0.005648;0.003840;0.02;0.00;0.06
262144;4;0.005957;0.004054;0.02;0.00;0.06
262144;4;0.005862;0.003849;0.02;0.00;0.07
262144;4;0.005923;0.004072;0.02;0.04;0.03
262144;4;0.005829;0.003825;0.02;0.03;0.03
262144;4;0.005848;0.003842;0.02;0.03;0.03
262144;4;0.005693;0.003900;0.02;0.05;0.01
262144;4;0.005738;0.004056;0.03;0.05;0.01
262144;4;0.005826;0.003882;0.02;0.06;0.00
262144;4;0.004989;0.003862;0.02;0.03;0.03
262144;4;0.005153;0.004073;0.02;0.06;0.00
262144;4;0.005180;0.003968;0.02;0.07;0.00
262144;4;0.005700;0.003914;0.02;0.06;0.00
262144;4;0.005210;0.003849;0.02;0.06;0.00
262144;4;0.006006;0.003852;0.02;0.07;0.00
262144;4;0.005923;0.003880;0.02;0.04;0.02
262144;4;0.005924;0.003885;0.02;0.05;0.02
262144;4;0.005790;0.004116;0.02;0.07;0.00
262144;4;0.005984;0.003863;0.02;0.05;0.01
262144;4;0.005888;0.003823;0.02;0.00;0.06
262144;4;0.005981;0.003870;0.02;0.01;0.05
262144;4;0.006067;0.003846;0.02;0.00;0.06
262144;4;0.006012;0.003851;0.02;0.02;0.04
262144;4;0.005974;0.004402;0.02;0.04;0.03
262144;4;0.006064;0.003832;0.02;0.04;0.02
262144;4;0.004979;0.003864;0.02;0.03;0.03
