size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
524288;16;0.498658;0.005475;0.331342;0.83;8.61;0.44
524288;16;0.436137;0.005468;0.383863;0.82;8.58;0.29
524288;16;0.458713;0.005507;0.481287;0.94;9.77;0.35
524288;16;0.500507;0.005552;0.359493;0.86;8.62;0.46
524288;16;0.496149;0.005525;0.373851;0.87;8.92;0.40
524288;16;0.429900;0.005591;0.4701;0.90;9.37;0.25
524288;16;0.448151;0.005500;0.351849;0.80;8.22;0.28
524288;16;0.447275;0.005724;0.382725;0.83;8.46;0.21
524288;16;0.460034;0.005418;0.339966;0.80;8.27;0.44
524288;16;0.507952;0.005542;0.442048;0.95;10.20;0.30
524288;16;0.498288;0.005518;0.501712;1.00;10.68;0.37
524288;16;0.439288;0.005476;0.480712;0.92;9.53;0.29
524288;16;0.526854;0.005478;0.373146;0.90;9.48;0.33
524288;16;0.509342;0.005510;0.360658;0.87;9.02;0.28
524288;16;0.403423;0.005421;0.376577;0.78;7.92;0.32
524288;16;0.517636;0.005468;0.422364;0.94;9.84;0.35
524288;16;0.528711;0.005477;0.351289;0.88;8.90;0.46
524288;16;0.488208;0.005596;0.441792;0.93;9.60;0.35
524288;16;0.596083;0.005595;0.323917;0.92;9.73;0.36
524288;16;0.503766;0.005567;0.436234;0.94;9.99;0.31
524288;16;0.409348;0.005411;0.340652;0.75;8.23;0.25
524288;16;0.539971;0.005445;0.380029;0.92;9.78;0.26
524288;16;0.408482;0.005508;0.451518;0.86;9.08;0.31
524288;16;0.438135;0.005458;0.381865;0.82;8.63;0.30
524288;16;0.506934;0.005546;0.493066;1.00;10.87;0.33
524288;16;0.444809;0.005518;0.405191;0.85;8.88;0.23
524288;16;0.457979;0.005449;0.362021;0.82;8.37;0.27
524288;16;0.472552;0.005559;0.397448;0.87;8.89;0.37
524288;16;0.470336;0.005570;0.539664;1.01;10.54;0.43
524288;16;0.627953;0.005464;0.372047;1.00;10.47;0.39
524288;16;0.549667;0.005561;0.370333;0.92;9.82;0.35
524288;16;0.468655;0.005479;0.371345;0.84;8.78;0.36
524288;16;0.386511;0.005482;0.393489;0.78;8.06;0.38
524288;16;0.518616;0.005595;0.451384;0.97;10.13;0.55
524288;16;0.517289;0.005539;0.452711;0.97;10.22;0.50
524288;16;0.408804;0.005378;0.401196;0.81;8.61;0.21
524288;16;0.579277;0.005462;0.380723;0.96;10.14;0.30
524288;16;0.477544;0.005546;0.382456;0.86;8.82;0.42
524288;16;0.487323;0.005603;0.432677;0.92;9.56;0.34
524288;16;0.485581;0.005552;0.464419;0.95;9.86;0.33
524288;16;0.527950;0.005592;0.58205;1.11;11.72;0.25
524288;16;0.500363;0.005577;0.419637;0.92;9.82;0.29
524288;16;0.447407;0.005534;0.432593;0.88;9.24;0.30
524288;16;0.448799;0.005538;0.481201;0.93;9.79;0.37
524288;16;0.380148;0.005528;0.399852;0.78;8.11;0.36
524288;16;0.456764;0.005492;0.513236;0.97;10.25;0.34
524288;16;0.522888;0.005503;0.367112;0.89;9.29;0.28
524288;16;0.426421;0.005488;0.333579;0.76;7.53;0.38
524288;16;0.446133;0.005473;0.353867;0.80;8.13;0.36
524288;16;0.386529;0.005532;0.373471;0.76;7.73;0.33
524288;16;0.328054;0.005442;0.461946;0.79;7.91;0.42
524288;16;0.408157;0.005568;0.431843;0.84;8.46;0.43
524288;16;0.447929;0.005466;0.382071;0.83;8.55;0.30
524288;16;0.398079;0.005475;0.331921;0.73;7.59;0.26
524288;16;0.554436;0.005560;0.365564;0.92;9.42;0.36
524288;16;0.438565;0.005551;0.441435;0.88;9.33;0.28
524288;16;0.377303;0.005581;0.342697;0.72;7.34;0.33
524288;16;0.570542;0.005452;0.389458;0.96;10.17;0.35
524288;16;0.537447;0.005539;0.502553;1.04;11.23;0.35
524288;16;0.419453;0.005553;0.450547;0.87;8.98;0.29
524288;16;0.475517;0.005530;0.374483;0.85;8.76;0.26
524288;16;0.446125;0.005539;0.423875;0.87;8.86;0.43
524288;16;0.424130;0.005607;0.37587;0.80;8.21;0.31
524288;16;0.466662;0.005482;0.313338;0.78;7.92;0.29
524288;16;0.507290;0.005507;0.40271;0.91;9.53;0.36
524288;16;0.520214;0.005502;0.509786;1.03;10.91;0.43
524288;16;0.427974;0.005384;0.362026;0.79;8.04;0.42
524288;16;0.397901;0.005433;0.442099;0.84;8.86;0.28
524288;16;0.649606;0.005504;0.440394;1.09;11.60;0.41
524288;16;0.539691;0.005530;0.410309;0.95;10.12;0.30
524288;16;0.417495;0.005431;0.462505;0.88;8.91;0.47
524288;16;0.498760;0.005495;0.35124;0.85;9.04;0.38
524288;16;0.458058;0.005545;0.341942;0.80;8.15;0.26
524288;16;0.452777;0.005507;0.477223;0.93;9.73;0.32
524288;16;0.448000;0.005501;0.442;0.89;9.18;0.36
524288;16;0.538074;0.005668;0.381926;0.92;9.47;0.43
524288;16;0.427355;0.005506;0.372645;0.80;8.39;0.31
524288;16;0.437838;0.005521;0.322162;0.76;7.91;0.31
524288;16;0.487848;0.005455;0.392152;0.88;9.28;0.32
524288;16;0.397751;0.005445;0.382249;0.78;8.18;0.19
524288;16;0.378660;0.005443;0.35134;0.73;7.44;0.28
524288;16;0.407676;0.005405;0.382324;0.79;8.20;0.35
524288;16;0.584076;0.005561;0.375924;0.96;10.20;0.26
524288;16;0.457989;0.005508;0.402011;0.86;8.95;0.26
524288;16;0.488724;0.005474;0.341276;0.83;8.32;0.47
524288;16;0.528057;0.005488;0.361943;0.89;9.24;0.29
524288;16;0.388078;0.005536;0.341922;0.73;7.39;0.28
524288;16;0.438811;0.005497;0.361189;0.80;8.08;0.38
524288;16;0.586921;0.005452;0.413079;1.00;10.70;0.32
524288;16;0.490031;0.005417;0.329969;0.82;8.52;0.44
524288;16;0.428688;0.005611;0.461312;0.89;9.57;0.37
524288;16;0.429884;0.005479;0.380116;0.81;8.40;0.38
524288;16;0.447405;0.005431;0.472595;0.92;9.62;0.46
524288;16;0.418641;0.005478;0.401359;0.82;8.73;0.20
524288;16;0.599779;0.005575;0.380221;0.98;10.34;0.29
524288;16;0.598210;0.005464;0.35179;0.95;9.76;0.44
524288;16;0.517930;0.005549;0.39207;0.91;9.65;0.41
524288;16;0.609198;0.005541;0.400802;1.01;10.50;0.39
524288;16;0.478055;0.005487;0.551945;1.03;10.83;0.34
524288;16;0.483430;0.005526;0.37657;0.86;8.94;0.33
