size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
1048576;16;0.633713;0.012800;0.486287;1.12;12.73;0.40
1048576;16;0.556215;0.014235;0.393785;0.95;10.53;0.37
1048576;16;0.568500;0.014137;0.4415;1.01;11.48;0.27
1048576;16;0.609440;0.016784;0.45056;1.06;12.03;0.35
1048576;16;0.618625;0.014153;0.401375;1.02;11.65;0.28
1048576;16;0.525866;0.011827;0.414134;0.94;10.76;0.24
1048576;16;0.558816;0.016540;0.461184;1.02;11.55;0.28
1048576;16;0.616545;0.011690;0.383455;1.00;11.29;0.39
1048576;16;0.690949;0.012987;0.449051;1.14;12.93;0.36
1048576;16;0.654349;0.011651;0.405651;1.06;11.87;0.44
1048576;16;0.500546;0.011842;0.399454;0.90;10.28;0.31
1048576;16;0.586576;0.011698;0.433424;1.02;11.37;0.41
1048576;16;0.418771;0.014193;0.411229;0.83;9.53;0.17
1048576;16;0.627351;0.014106;0.352649;0.98;11.14;0.33
1048576;16;0.597347;0.012925;0.402653;1.00;11.34;0.40
1048576;16;0.507967;0.014172;0.482033;0.99;11.22;0.27
1048576;16;0.578521;0.012852;0.471479;1.05;12.10;0.29
1048576;16;0.693558;0.012990;0.416442;1.11;12.43;0.48
1048576;16;0.546738;0.011841;0.343262;0.89;9.82;0.30
1048576;16;0.587693;0.014160;0.432307;1.02;11.45;0.39
1048576;16;0.710934;0.011857;0.409066;1.12;12.58;0.51
1048576;16;0.621634;0.011661;0.388366;1.01;11.37;0.36
1048576;16;0.606738;0.012256;0.403262;1.01;11.48;0.38
1048576;16;0.638185;0.014192;0.441815;1.08;12.24;0.36
1048576;16;0.587208;0.013045;0.392792;0.98;11.09;0.30
1048576;16;0.579305;0.012979;0.450695;1.03;11.68;0.41
1048576;16;0.657468;0.011505;0.442532;1.10;12.55;0.31
1048576;16;0.748016;0.012902;0.471984;1.22;13.96;0.34
1048576;16;0.618185;0.015397;0.381815;1.00;11.34;0.33
1048576;16;0.712309;0.011959;0.397691;1.11;12.75;0.34
1048576;16;0.547636;0.012842;0.342364;0.89;10.04;0.34
1048576;16;0.679465;0.014175;0.500535;1.18;13.44;0.33
1048576;16;0.445476;0.012990;0.394524;0.84;9.42;0.30
1048576;16;0.608042;0.011833;0.441958;1.05;11.88;0.40
1048576;16;0.527437;0.011599;0.412563;0.94;10.53;0.32
1048576;16;0.618019;0.013557;0.521981;1.14;12.92;0.40
1048576;16;0.627874;0.011594;0.382126;1.01;11.41;0.46
1048576;16;0.658130;0.011478;0.41187;1.07;12.21;0.38
1048576;16;0.479016;0.014291;0.630984;1.11;12.74;0.27
1048576;16;0.588742;0.014289;0.491258;1.08;12.33;0.32
1048576;16;0.678107;0.011793;0.451893;1.13;12.85;0.37
1048576;16;0.478685;0.013622;0.361315;0.84;9.51;0.27
1048576;16;0.496784;0.011627;0.353216;0.85;9.60;0.17
1048576;16;0.469923;0.011532;0.410077;0.88;10.00;0.24
1048576;16;0.567259;0.016187;0.402741;0.97;10.98;0.33
1048576;16;0.765817;0.011785;0.444183;1.21;13.80;0.33
1048576;16;0.567876;0.015356;0.472124;1.04;11.85;0.37
1048576;16;0.578660;0.013909;0.42134;1.00;11.36;0.35
1048576;16;0.558120;0.018370;0.39188;0.95;10.53;0.32
1048576;16;0.587982;0.016573;0.482018;1.07;12.08;0.42
1048576;16;0.530188;0.014290;0.549812;1.08;12.33;0.31
1048576;16;0.646692;0.011720;0.433308;1.08;12.05;0.38
1048576;16;0.523598;0.011771;0.446402;0.97;11.02;0.35
1048576;16;0.637988;0.011691;0.422012;1.06;12.09;0.34
1048576;16;0.498521;0.011680;0.401479;0.90;10.06;0.50
1048576;16;0.599940;0.011533;0.50006;1.10;12.53;0.35
1048576;16;0.728613;0.012889;0.451387;1.18;13.63;0.20
1048576;16;0.590355;0.011550;0.439645;1.03;11.60;0.34
1048576;16;0.477444;0.011752;0.442556;0.92;10.49;0.21
1048576;16;0.738640;0.014184;0.37136;1.11;12.75;0.35
1048576;16;0.688009;0.014278;0.481991;1.17;13.28;0.42
1048576;16;0.566815;0.013154;0.463185;1.03;11.71;0.36
1048576;16;0.688823;0.011661;0.451177;1.14;13.06;0.32
1048576;16;0.566717;0.011879;0.443283;1.01;11.44;0.33
1048576;16;0.473631;0.014284;0.386369;0.86;9.61;0.36
1048576;16;0.648258;0.016195;0.461742;1.11;12.63;0.43
1048576;16;0.478780;0.013981;0.40122;0.88;9.82;0.31
1048576;16;0.728214;0.015330;0.471786;1.20;13.69;0.38
1048576;16;0.549668;0.013238;0.430332;0.98;11.13;0.28
1048576;16;0.459321;0.012562;0.320679;0.78;8.80;0.22
1048576;16;0.627462;0.011723;0.392538;1.02;11.55;0.30
1048576;16;0.631680;0.013055;0.39832;1.03;11.52;0.32
1048576;16;0.658040;0.011625;0.46196;1.12;12.76;0.31
1048576;16;0.676031;0.011645;0.473969;1.15;13.18;0.33
1048576;16;0.588093;0.014320;0.591907;1.18;13.62;0.31
1048576;16;0.609020;0.013493;0.46098;1.07;12.09;0.21
1048576;16;0.547403;0.011417;0.402597;0.95;10.76;0.30
1048576;16;0.539515;0.011653;0.350485;0.89;10.02;0.36
1048576;16;0.517435;0.011636;0.552565;1.07;12.08;0.28
1048576;16;0.591116;0.012852;0.588884;1.18;13.45;0.33
1048576;16;0.698100;0.011586;0.3719;1.07;12.01;0.41
1048576;16;0.618691;0.011593;0.491309;1.11;12.78;0.28
1048576;16;0.540438;0.012902;0.429562;0.97;10.92;0.28
1048576;16;0.607984;0.012972;0.462016;1.07;12.27;0.26
1048576;16;0.627898;0.011586;0.392102;1.02;11.54;0.27
1048576;16;0.590292;0.012455;0.419708;1.01;11.55;0.36
1048576;16;0.559745;0.014353;0.470255;1.03;11.74;0.36
1048576;16;0.479984;0.011892;0.490016;0.97;10.92;0.31
1048576;16;0.667988;0.011683;0.392012;1.06;11.79;0.41
1048576;16;0.598698;0.011552;0.411302;1.01;11.38;0.38
1048576;16;0.638664;0.012909;0.351336;0.99;11.25;0.32
1048576;16;0.478706;0.011815;0.411294;0.89;10.11;0.21
1048576;16;0.588052;0.013044;0.471948;1.06;11.97;0.33
1048576;16;0.539221;0.012977;0.490779;1.03;11.67;0.44
1048576;16;0.449932;0.011734;0.450068;0.90;10.27;0.22
1048576;16;0.721912;0.012943;0.488088;1.21;13.70;0.32
1048576;16;0.489267;0.014251;0.370733;0.86;9.72;0.31
1048576;16;0.577485;0.015094;0.442515;1.02;11.35;0.33
1048576;16;0.697171;0.011665;0.412829;1.11;12.37;0.49
1048576;16;0.532134;0.011871;0.377866;0.91;10.17;0.23
