size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
16777216;4;0.148418;0.697322;0.961582;1.11;3.80;0.08
16777216;4;0.146852;0.690689;0.943148;1.09;3.75;0.06
16777216;4;0.146925;0.745047;1.093075;1.24;4.35;0.04
16777216;4;0.149101;0.738696;1.050899;1.20;4.14;0.13
16777216;4;0.146784;0.690716;0.963216;1.11;3.76;0.10
16777216;4;0.147752;0.671880;0.942248;1.09;3.70;0.09
16777216;4;0.147546;0.770488;1.012454;1.16;4.00;0.09
16777216;4;0.145228;0.707912;0.974772;1.12;3.82;0.12
16777216;4;0.149044;0.703577;1.010956;1.16;4.00;0.09
16777216;4;0.147386;0.740648;1.062614;1.21;4.18;0.09
