size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
16777216;16;0.537579;0.265895;1.202421;1.74;18.47;0.56
16777216;16;0.548815;0.272715;1.211185;1.76;18.72;0.46
16777216;16;0.518768;0.276008;1.121232;1.64;17.15;0.56
16777216;16;0.558489;0.331392;1.511511;2.07;22.19;0.62
16777216;16;0.509328;0.263048;1.220672;1.73;18.61;0.46
16777216;16;0.535948;0.270770;1.154052;1.69;18.11;0.50
16777216;16;0.459983;0.269158;1.280017;1.74;18.72;0.53
16777216;16;0.520175;0.272244;1.269825;1.79;18.99;0.52
16777216;16;0.446967;0.267328;1.203033;1.65;17.18;0.65
16777216;16;0.649314;0.256832;1.430686;2.08;22.37;0.57
