size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
4194304;8;0.031539;0.084710;0.188461;0.22;1.34;0.12
4194304;8;0.033430;0.084676;0.17657;0.21;1.32;0.11
4194304;8;0.033015;0.085999;0.186985;0.22;1.35;0.10
4194304;8;0.032764;0.087361;0.177236;0.21;1.26;0.14
4194304;8;0.032036;0.083795;0.187964;0.22;1.35;0.10
4194304;8;0.033387;0.086087;0.186613;0.22;1.31;0.18
4194304;8;0.047986;0.085914;0.182014;0.23;1.46;0.11
4194304;8;0.048029;0.084435;0.181971;0.23;1.45;0.11
4194304;8;0.039757;0.084837;0.190243;0.23;1.33;0.19
4194304;8;0.033599;0.083678;0.176401;0.21;1.28;0.11
