size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
1048576;16;1.668100;0.004769;0.5319;2.20;23.99;0.64
1048576;16;1.747943;0.004841;0.422057;2.17;23.76;0.51
1048576;16;1.518417;0.004708;0.351583;1.87;19.89;0.61
1048576;16;1.516996;0.004811;0.493004;2.01;21.97;0.50
1048576;16;1.577392;0.004892;0.342608;1.92;20.71;0.58
1048576;16;1.578156;0.004845;0.481844;2.06;22.17;0.54
1048576;16;1.547973;0.004991;0.482027;2.03;22.03;0.48
1048576;16;1.677533;0.004907;0.352467;2.03;22.16;0.45
1048576;16;1.383089;0.004925;0.396911;1.78;19.26;0.45
1048576;16;1.548498;0.004997;0.461502;2.01;21.69;0.54
1048576;16;1.589449;0.004948;0.410551;2.00;21.75;0.48
1048576;16;1.685479;0.004722;0.404521;2.09;22.36;0.59
1048576;16;1.539204;0.004803;0.410796;1.95;21.01;0.60
1048576;16;1.489522;0.004945;0.340478;1.83;19.65;0.47
1048576;16;1.457980;0.004889;0.44202;1.90;20.57;0.56
1048576;16;1.706756;0.004955;0.343244;2.05;22.35;0.52
1048576;16;1.608726;0.005052;0.351274;1.96;21.15;0.50
1048576;16;1.697705;0.005071;0.372295;2.07;22.36;0.45
1048576;16;1.676189;0.005014;0.513811;2.19;23.59;0.58
1048576;16;1.577289;0.004879;0.412711;1.99;21.26;0.41
1048576;16;1.518752;0.004793;0.391248;1.91;20.75;0.47
1048576;16;1.591012;0.004792;0.408988;2.00;21.56;0.43
1048576;16;1.549440;0.004951;0.35056;1.90;20.31;0.50
1048576;16;1.549445;0.004882;0.360555;1.91;20.38;0.51
1048576;16;1.408141;0.004973;0.411859;1.82;19.17;0.61
1048576;16;1.750695;0.004724;0.429305;2.18;23.66;0.64
1048576;16;1.637382;0.004857;0.522618;2.16;23.58;0.45
1048576;16;1.694232;0.004940;0.465768;2.16;23.67;0.54
1048576;16;1.536686;0.004792;0.363314;1.90;20.51;0.57
1048576;16;1.487291;0.004816;0.442709;1.93;21.07;0.48
1048576;16;1.589292;0.004755;0.440708;2.03;21.98;0.49
1048576;16;1.728647;0.005000;0.641353;2.37;25.84;0.62
1048576;16;1.555328;0.004847;0.484672;2.04;22.20;0.58
1048576;16;1.528344;0.004915;0.451656;1.98;21.44;0.44
1048576;16;1.478744;0.004930;0.431256;1.91;20.73;0.51
1048576;16;1.594369;0.004995;0.395631;1.99;21.76;0.41
1048576;16;1.448065;0.004903;0.421935;1.87;19.99;0.50
1048576;16;1.660032;0.004803;0.379968;2.04;22.03;0.50
1048576;16;1.486210;0.004912;0.36379;1.85;19.88;0.45
1048576;16;1.439889;0.004947;0.470111;1.91;20.79;0.53
1048576;16;1.618613;0.005084;0.541387;2.16;23.79;0.56
1048576;16;1.587336;0.004887;0.392664;1.98;21.52;0.49
1048576;16;1.615394;0.005105;0.444606;2.06;22.47;0.47
1048576;16;1.587973;0.004929;0.382027;1.97;21.56;0.39
1048576;16;1.526750;0.004967;0.41325;1.94;21.29;0.45
1048576;16;1.641070;0.004988;0.42893;2.07;22.27;0.49
1048576;16;1.619294;0.005034;0.400706;2.02;22.08;0.48
1048576;16;1.723573;0.004984;0.406427;2.13;22.96;0.51
1048576;16;1.667985;0.004939;0.352015;2.02;21.71;0.47
1048576;16;1.558602;0.004852;0.451398;2.01;21.78;0.64
1048576;16;1.402909;0.004693;0.387091;1.79;19.48;0.34
1048576;16;1.677961;0.004945;0.372039;2.05;22.16;0.52
1048576;16;1.569378;0.005022;0.570622;2.14;23.17;0.65
1048576;16;1.547336;0.004883;0.352664;1.90;20.68;0.41
1048576;16;1.418420;0.004714;0.34158;1.76;18.89;0.62
1048576;16;1.567413;0.005167;0.462587;2.03;22.04;0.51
1048576;16;1.617869;0.004903;0.492131;2.11;22.80;0.64
1048576;16;1.575279;0.004689;0.454721;2.03;22.19;0.49
1048576;16;1.789338;0.005070;0.420662;2.21;24.11;0.47
1048576;16;1.788096;0.004930;0.501904;2.29;25.12;0.56
1048576;16;1.560027;0.004921;0.379973;1.94;20.90;0.47
1048576;16;1.661678;0.005067;0.518322;2.18;23.57;0.59
1048576;16;1.678019;0.004722;0.451981;2.13;23.16;0.59
1048576;16;1.858752;0.004858;0.441248;2.30;25.13;0.47
1048576;16;1.428869;0.005059;0.401131;1.83;19.86;0.40
1048576;16;1.695380;0.004875;0.56462;2.26;24.93;0.47
1048576;16;1.599304;0.004811;0.400696;2.00;21.55;0.56
1048576;16;1.618007;0.004904;0.371993;1.99;21.68;0.49
1048576;16;1.409860;0.004879;0.51014;1.92;20.65;0.62
1048576;16;1.579847;0.004953;0.390153;1.97;21.51;0.46
1048576;16;1.619416;0.004752;0.350584;1.97;21.41;0.46
1048576;16;1.498799;0.004683;0.341201;1.84;20.02;0.33
1048576;16;1.565966;0.004938;0.404034;1.97;21.01;0.47
1048576;16;1.658595;0.004908;0.431405;2.09;22.77;0.38
1048576;16;1.588175;0.004965;0.341825;1.93;20.82;0.55
1048576;16;1.506020;0.005244;0.40398;1.91;20.58;0.38
1048576;16;1.791855;0.005316;0.538145;2.33;25.64;0.50
1048576;16;1.678091;0.004909;0.411909;2.09;22.58;0.59
1048576;16;1.519488;0.005001;0.510512;2.03;22.05;0.52
1048576;16;1.536856;0.005752;0.463144;2.00;21.60;0.47
1048576;16;1.598268;0.008128;0.511732;2.11;22.88;0.43
1048576;16;1.608096;0.004933;0.481904;2.09;22.75;0.50
1048576;16;1.468059;0.004841;0.321941;1.79;19.37;0.46
1048576;16;1.459450;0.004780;0.35055;1.81;19.72;0.47
1048576;16;1.648099;0.004944;0.511901;2.16;23.59;0.60
1048576;16;1.518839;0.004565;0.391161;1.91;20.61;0.44
1048576;16;1.666887;0.004834;0.393113;2.06;22.37;0.42
1048576;16;1.458017;0.004933;0.491983;1.95;21.09;0.48
1048576;16;1.539611;0.004995;0.510389;2.05;22.38;0.48
1048576;16;1.536390;0.004897;0.57361;2.11;23.11;0.49
1048576;16;1.683480;0.005043;0.40652;2.09;22.60;0.53
1048576;16;1.568625;0.004911;0.441375;2.01;21.72;0.44
1048576;16;1.609822;0.004901;0.400178;2.01;21.92;0.45
1048576;16;1.607346;0.004954;0.392654;2.00;21.70;0.59
1048576;16;1.587253;0.004926;0.352747;1.94;20.85;0.60
1048576;16;1.608013;0.005027;0.431987;2.04;22.11;0.49
1048576;16;1.657562;0.004925;0.342438;2.00;21.55;0.59
1048576;16;1.533553;0.004853;0.406447;1.94;20.99;0.43
1048576;16;1.528748;0.004945;0.611252;2.14;23.23;0.57
1048576;16;1.444162;0.004927;0.365838;1.81;19.23;0.55
