size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
1048576;4;0.010179;0.035221;0.059821;0.07;0.23;0.01
1048576;4;0.010818;0.033038;0.059182;0.07;0.17;0.05
1048576;4;0.010776;0.033061;0.059224;0.07;0.20;0.02
1048576;4;0.010387;0.033052;0.059613;0.07;0.19;0.03
1048576;4;0.010425;0.033130;0.059575;0.07;0.21;0.01
1048576;4;0.010155;0.032942;0.059845;0.07;0.18;0.03
1048576;4;0.009911;0.033092;0.060089;0.07;0.18;0.03
1048576;4;0.010982;0.033657;0.059018;0.07;0.22;0.01
1048576;4;0.010366;0.033039;0.059634;0.07;0.18;0.03
1048576;4;0.011040;0.032950;0.05896;0.07;0.21;0.01
1048576;4;0.010366;0.033644;0.059634;0.07;0.22;0.01
1048576;4;0.010969;0.033261;0.059031;0.07;0.19;0.03
1048576;4;0.010245;0.033083;0.059755;0.07;0.21;0.00
1048576;4;0.010333;0.033161;0.059667;0.07;0.20;0.02
1048576;4;0.010641;0.032972;0.059359;0.07;0.19;0.03
1048576;4;0.010264;0.033129;0.059736;0.07;0.17;0.05
1048576;4;0.010622;0.033073;0.059378;0.07;0.17;0.04
1048576;4;0.010534;0.033092;0.059466;0.07;0.21;0.01
1048576;4;0.011083;0.033074;0.058917;0.07;0.18;0.04
1048576;4;0.010788;0.038186;0.069212;0.08;0.27;0.00
1048576;4;0.010158;0.033009;0.059842;0.07;0.18;0.04
1048576;4;0.010962;0.033102;0.059038;0.07;0.21;0.01
1048576;4;0.010820;0.032981;0.05918;0.07;0.21;0.01
1048576;4;0.011177;0.033281;0.058823;0.07;0.18;0.04
1048576;4;0.011020;0.033105;0.05898;0.07;0.22;0.00
1048576;4;0.010577;0.033164;0.059423;0.07;0.18;0.04
1048576;4;0.010366;0.033000;0.059634;0.07;0.21;0.00
1048576;4;0.011164;0.032809;0.058836;0.07;0.19;0.02
1048576;4;0.010076;0.033107;0.059924;0.07;0.19;0.03
1048576;4;0.011012;0.035702;0.058988;0.07;0.20;0.04
1048576;4;0.011024;0.033016;0.058976;0.07;0.18;0.04
1048576;4;0.010790;0.033110;0.05921;0.07;0.21;0.02
1048576;4;0.010891;0.032978;0.059109;0.07;0.19;0.02
1048576;4;0.010694;0.033064;0.059306;0.07;0.17;0.05
1048576;4;0.010651;0.032876;0.059349;0.07;0.19;0.03
1048576;4;0.010437;0.033079;0.059563;0.07;0.19;0.03
1048576;4;0.011103;0.033008;0.058897;0.07;0.16;0.06
1048576;4;0.010637;0.033145;0.059363;0.07;0.17;0.05
1048576;4;0.011128;0.033084;0.058872;0.07;0.22;0.00
1048576;4;0.011038;0.037764;0.068962;0.08;0.25;0.00
1048576;4;0.010707;0.033090;0.059293;0.07;0.20;0.03
1048576;4;0.010431;0.033003;0.059569;0.07;0.21;0.01
1048576;4;0.010619;0.033064;0.059381;0.07;0.18;0.03
1048576;4;0.011092;0.033055;0.058908;0.07;0.19;0.03
1048576;4;0.010817;0.033109;0.059183;0.07;0.22;0.00
1048576;4;0.010234;0.033026;0.059766;0.07;0.19;0.03
1048576;4;0.011078;0.037937;0.068922;0.08;0.26;0.01
1048576;4;0.010352;0.033055;0.059648;0.07;0.21;0.00
1048576;4;0.012834;0.033130;0.057166;0.07;0.22;0.00
1048576;4;0.012503;0.033064;0.057497;0.07;0.18;0.04
1048576;4;0.012083;0.032962;0.057917;0.07;0.22;0.00
1048576;4;0.016810;0.033139;0.07319;0.09;0.21;0.06
1048576;4;0.011903;0.034696;0.068097;0.08;0.24;0.01
1048576;4;0.012430;0.033028;0.05757;0.07;0.23;0.00
1048576;4;0.012241;0.036610;0.067759;0.08;0.24;0.01
1048576;4;0.011962;0.037729;0.068038;0.08;0.25;0.00
1048576;4;0.013043;0.032979;0.056957;0.07;0.19;0.03
1048576;4;0.011885;0.033075;0.058115;0.07;0.22;0.00
1048576;4;0.012136;0.033053;0.057864;0.07;0.19;0.02
1048576;4;0.012694;0.033132;0.057306;0.07;0.22;0.00
1048576;4;0.012121;0.033662;0.057879;0.07;0.17;0.05
1048576;4;0.011959;0.033005;0.058041;0.07;0.20;0.01
1048576;4;0.016630;0.033103;0.07337;0.09;0.22;0.05
1048576;4;0.012357;0.033127;0.057643;0.07;0.19;0.03
1048576;4;0.012066;0.033018;0.057934;0.07;0.19;0.03
1048576;4;0.012501;0.033044;0.057499;0.07;0.19;0.03
1048576;4;0.012100;0.032991;0.0579;0.07;0.18;0.03
1048576;4;0.012496;0.032994;0.057504;0.07;0.16;0.06
1048576;4;0.011931;0.033094;0.058069;0.07;0.18;0.03
1048576;4;0.012071;0.033034;0.057929;0.07;0.19;0.03
1048576;4;0.012518;0.033064;0.057482;0.07;0.21;0.01
1048576;4;0.012361;0.033161;0.057639;0.07;0.20;0.02
1048576;4;0.012010;0.037852;0.06799;0.08;0.22;0.04
1048576;4;0.012256;0.032943;0.057744;0.07;0.19;0.04
1048576;4;0.011659;0.033034;0.058341;0.07;0.19;0.02
1048576;4;0.012662;0.034087;0.057338;0.07;0.22;0.02
1048576;4;0.011906;0.033139;0.058094;0.07;0.18;0.04
1048576;4;0.011437;0.033093;0.058563;0.07;0.19;0.03
1048576;4;0.012308;0.033155;0.057692;0.07;0.17;0.06
1048576;4;0.012504;0.035892;0.067496;0.08;0.19;0.06
1048576;4;0.011760;0.033057;0.05824;0.07;0.21;0.01
1048576;4;0.011891;0.032995;0.058109;0.07;0.21;0.01
1048576;4;0.012180;0.033073;0.05782;0.07;0.17;0.04
1048576;4;0.011975;0.032985;0.058025;0.07;0.20;0.02
1048576;4;0.012567;0.036841;0.057433;0.07;0.21;0.03
1048576;4;0.012708;0.032924;0.057292;0.07;0.16;0.06
1048576;4;0.012067;0.033106;0.057933;0.07;0.22;0.00
1048576;4;0.012220;0.033072;0.05778;0.07;0.19;0.03
1048576;4;0.011728;0.033002;0.058272;0.07;0.21;0.01
1048576;4;0.012268;0.032975;0.057732;0.07;0.18;0.04
1048576;4;0.011934;0.033098;0.058066;0.07;0.20;0.02
1048576;4;0.011839;0.036879;0.068161;0.08;0.22;0.04
1048576;4;0.012063;0.033153;0.057937;0.07;0.21;0.01
1048576;4;0.011839;0.033082;0.058161;0.07;0.19;0.03
1048576;4;0.011994;0.033029;0.058006;0.07;0.16;0.06
1048576;4;0.012250;0.033139;0.05775;0.07;0.19;0.02
1048576;4;0.012626;0.034330;0.057374;0.07;0.21;0.02
1048576;4;0.012102;0.033084;0.057898;0.07;0.19;0.03
1048576;4;0.012297;0.033219;0.057703;0.07;0.22;0.00
1048576;4;0.012531;0.037353;0.067469;0.08;0.21;0.06
