Version;Process;Read time;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.00370;0.00388;0.01795;0.00231;0.01000;1;1
Parallel;2;0.00425;0.00187;0.02321;0.02519;0.02000;1.00000;0.50000
Parallel;4;0.00545;0.00105;0.03703;0.11000;0.03000;0.50000;0.12500
Parallel;8;0.50227;0.00059;9.72471;0.31742;0.86119;0.33333;0.04167
Parallel;16;0.00038;0.00749;0.00000;0.00000;0.01000;0.01161;0.00073
