size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
4194304;16;0.488742;0.060821;0.571258;1.06;11.67;0.35
4194304;16;0.378041;0.061213;0.691959;1.07;11.88;0.37
4194304;16;0.518747;0.061927;0.581253;1.10;12.18;0.33
4194304;16;0.401109;0.059843;0.578891;0.98;10.72;0.46
4194304;16;0.498766;0.063044;0.521234;1.02;11.31;0.26
4194304;16;0.506738;0.063713;0.663262;1.17;12.89;0.50
4194304;16;0.378724;0.062721;0.441276;0.82;8.93;0.28
4194304;16;0.468748;0.062154;0.681252;1.15;12.54;0.62
4194304;16;0.409448;0.064251;0.690552;1.10;12.18;0.36
4194304;16;0.359487;0.062064;0.600513;0.96;10.56;0.43
