Version;Process;Read time;Local sort;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.02614;-;2.76862;2.76714;0.02286;3.01400;1;1
Parallel;2;0.14860;1.44238;1.58147;3.16000;0.03857;1.73000;1.74220;0.87110
Parallel;4;0.12759;0.78656;1.10365;4.37400;0.07167;1.23400;2.44246;0.61062
Parallel;8;0.13621;0.44099;0.77056;5.97714;0.19000;0.91286;3.30172;0.41272
Parallel;16;0.53316;0.31567;1.27766;18.97429;0.49286;1.77571;1.69735;0.10608
