size;processes;read_time;merge_time;elapsed;user;sys
65536;16;0.572622;0.000749;0.98;11.10;0.37
65536;16;0.534232;0.000576;0.90;10.14;0.36
65536;16;0.457585;0.000566;0.80;9.10;0.23
65536;16;0.503552;0.000663;0.83;9.45;0.26
65536;16;0.567778;0.000818;0.91;10.20;0.45
65536;16;0.521068;0.000582;0.88;9.89;0.37
65536;16;0.395949;0.001114;0.73;8.23;0.28
65536;16;0.570071;0.000563;0.96;10.90;0.32
65536;16;0.526866;0.000560;0.87;9.91;0.32
65536;16;0.499765;0.000553;0.90;10.33;0.27
65536;16;0.646158;0.000599;0.96;10.96;0.30
65536;16;0.547478;0.000565;0.87;9.81;0.37
65536;16;0.559208;0.000570;0.92;10.44;0.35
65536;16;0.611447;0.000568;0.95;10.73;0.43
65536;16;0.639831;0.000564;0.97;11.10;0.33
65536;16;0.709074;0.000568;1.01;11.45;0.36
65536;16;0.462658;0.000654;0.82;9.12;0.28
65536;16;0.515918;0.000552;0.84;9.48;0.34
65536;16;0.458121;0.000688;0.80;8.92;0.41
65536;16;0.668139;0.000563;0.98;11.21;0.32
65536;16;0.647554;0.000649;1.00;11.46;0.26
65536;16;0.476699;0.000592;0.80;9.05;0.33
65536;16;0.518834;0.000560;0.90;10.26;0.29
65536;16;0.486951;0.000596;0.96;11.00;0.21
65536;16;0.771693;0.000649;1.16;13.18;0.46
65536;16;0.616081;0.000578;0.98;11.07;0.37
65536;16;0.499959;0.000588;0.83;9.39;0.27
65536;16;0.659402;0.000588;0.99;11.26;0.39
65536;16;0.579664;0.000563;0.96;10.50;0.43
65536;16;0.577155;0.000614;1.00;11.52;0.27
65536;16;0.571894;0.000569;0.88;9.85;0.29
65536;16;0.640166;0.000572;1.11;12.53;0.47
65536;16;0.590482;0.000825;0.97;10.94;0.41
65536;16;0.576854;0.000688;0.97;10.99;0.40
65536;16;0.467445;0.000595;0.74;8.32;0.25
65536;16;0.557349;0.000629;0.95;10.64;0.42
65536;16;0.494765;0.000589;0.84;9.49;0.35
65536;16;0.554307;0.000563;0.91;10.31;0.32
65536;16;0.638026;0.000562;0.94;10.71;0.33
65536;16;0.503777;0.000804;0.87;9.83;0.23
65536;16;0.537920;0.000570;0.99;11.22;0.34
65536;16;0.601604;0.000650;1.00;11.38;0.32
65536;16;0.659754;0.000571;0.97;10.99;0.32
65536;16;0.407855;0.000558;0.74;8.12;0.43
65536;16;0.480302;0.000654;0.82;9.31;0.27
65536;16;0.410182;0.000847;0.78;8.70;0.35
65536;16;0.516960;0.000610;0.86;9.76;0.30
65536;16;0.571610;0.000599;0.99;11.30;0.35
65536;16;0.500308;0.001930;0.86;9.63;0.35
65536;16;0.574844;0.000635;0.90;9.88;0.54
65536;16;0.471347;0.000559;0.86;9.87;0.22
65536;16;0.539774;0.000776;0.94;10.56;0.45
65536;16;0.528234;0.000576;0.89;10.08;0.34
65536;16;0.540029;0.000558;0.89;9.86;0.32
65536;16;0.558834;0.000560;0.92;10.43;0.32
65536;16;0.528480;0.000584;0.89;10.04;0.37
65536;16;0.669197;0.000872;1.03;11.72;0.38
65536;16;0.609170;0.000564;0.96;11.04;0.23
65536;16;0.437086;0.000567;0.80;8.93;0.35
65536;16;0.651853;0.000827;1.01;11.66;0.21
65536;16;0.480659;0.000585;0.87;9.70;0.28
65536;16;0.776790;0.000566;1.20;13.78;0.40
65536;16;0.606586;0.000561;0.94;10.62;0.43
65536;16;0.517512;0.000781;0.88;9.98;0.26
65536;16;0.640353;0.000569;0.97;10.87;0.34
65536;16;0.758160;0.000713;1.10;12.45;0.45
65536;16;0.639810;0.000556;0.99;11.27;0.29
65536;16;0.549393;0.000561;0.90;10.24;0.27
65536;16;0.508710;0.000567;0.86;9.59;0.43
65536;16;0.490075;0.000564;0.83;9.28;0.28
65536;16;0.683107;0.000671;1.00;11.36;0.34
65536;16;0.505741;0.000630;0.86;9.31;0.34
65536;16;0.441183;0.000579;0.83;9.43;0.23
65536;16;0.638944;0.000623;0.96;10.82;0.31
65536;16;0.525278;0.000684;0.90;10.17;0.35
65536;16;0.503927;0.000587;0.87;9.84;0.30
65536;16;0.486031;0.000563;0.89;10.05;0.38
65536;16;0.524731;0.000558;0.86;9.82;0.31
65536;16;0.606194;0.000700;0.96;11.00;0.28
65536;16;0.557826;0.000579;0.90;10.17;0.35
65536;16;0.558117;0.000637;0.93;10.62;0.27
65536;16;0.632589;0.000671;0.96;11.04;0.27
65536;16;0.450775;0.000639;0.83;9.38;0.26
65536;16;0.678405;0.000778;0.98;11.23;0.32
65536;16;0.509919;0.000563;0.86;9.74;0.27
65536;16;0.589065;0.000588;0.91;10.08;0.35
65536;16;0.740056;0.000672;1.04;11.59;0.29
65536;16;0.577926;0.000668;1.02;11.57;0.35
65536;16;0.558549;0.000581;0.93;10.66;0.29
65536;16;0.589382;0.000567;1.02;11.62;0.31
65536;16;0.569747;0.000568;0.93;10.39;0.48
65536;16;0.498887;0.000582;0.86;9.74;0.30
65536;16;0.609867;0.000764;0.99;11.30;0.28
65536;16;0.428794;0.000653;0.84;9.45;0.36
65536;16;0.446289;0.000653;0.86;9.71;0.33
65536;16;0.562576;0.000607;0.89;10.14;0.31
65536;16;0.549301;0.000631;0.85;9.59;0.35
65536;16;0.626984;0.000559;0.99;11.36;0.28
65536;16;0.590231;0.000582;1.01;11.46;0.38
65536;16;0.568454;0.000826;0.91;10.29;0.38
