size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
4194304;2;0.039181;0.405591;0.470819;0.51;0.89;0.01
4194304;2;0.037709;0.330914;0.372291;0.41;0.76;0.00
4194304;2;0.040343;0.332339;0.379657;0.42;0.73;0.02
4194304;2;0.036532;0.331050;0.373468;0.41;0.71;0.04
4194304;2;0.038004;0.332438;0.371996;0.41;0.73;0.02
4194304;2;0.036777;0.333689;0.373223;0.41;0.75;0.00
4194304;2;0.038278;0.332330;0.381722;0.42;0.75;0.01
4194304;2;0.039198;0.330984;0.370802;0.41;0.75;0.00
4194304;2;0.038263;0.331614;0.371737;0.41;0.75;0.00
4194304;2;0.038398;0.340016;0.391602;0.43;0.77;0.01
