Version;Process;Read time;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.00721;0.01515;0.02484;0.00000;0.02000;1;1
Parallel;2;0.01111;0.01496;0.03557;0.02476;0.03000;1.41120;0.70560
Parallel;4;0.02146;0.02347;0.07706;0.10651;0.05000;1.42912;0.35728
Parallel;8;0.44898;0.45017;8.96273;0.36028;0.83809;0.91066;0.11383
Parallel;16;0.00085;0.02138;0.02000;0.00000;0.02000;0.04748;0.00297
