Version;Process;Read time;Local sort;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.00132;-;0.06974;0.07000;0.00000;0.08000;1;1
Parallel;2;0.00801;0.03278;0.04197;0.08153;0.00329;0.05000;1.60000;0.80000
Parallel;4;0.00756;0.01570;0.03240;0.10271;0.02792;0.04000;2.00000;0.50000
Parallel;8;0.00915;0.00865;0.04085;0.18000;0.09457;0.05000;1.60000;0.20000
Parallel;16;0.46362;0.00460;0.39578;9.61625;0.31616;0.85507;0.09356;0.00585
