Version;Process;Read time;Merge time;User;Sys;Elapsed;Speedup;Efficiency
Serial;1;0.00761;0.00795;0.02505;0.00000;0.02000;1;1
Parallel;2;0.01167;0.00384;0.03500;0.02597;0.03000;2.57649;1.28824
Parallel;4;0.02256;0.00201;0.08134;0.10954;0.05000;5.33872;1.33468
Parallel;8;1.44280;0.00118;20.44092;0.54205;1.82095;10.20361;1.27545
Parallel;16;0.00085;0.02049;0.02000;0.00000;0.02000;17.33987;1.08374
