size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
262144;16;1.268806;0.001082;0.331194;1.60;18.10;0.36
262144;16;1.425331;0.001109;0.394669;1.82;20.67;0.56
262144;16;1.377935;0.001132;0.432065;1.81;20.35;0.58
262144;16;1.436957;0.001075;0.363043;1.80;20.25;0.52
262144;16;1.510408;0.001114;0.339592;1.85;21.15;0.47
262144;16;1.411479;0.001076;0.358521;1.77;20.19;0.40
262144;16;1.118532;0.001069;0.401468;1.52;17.05;0.49
262144;16;1.637475;0.001121;0.362525;2.00;22.87;0.62
262144;16;1.617470;0.001117;0.45253;2.07;23.53;0.60
262144;16;1.287451;0.001077;0.372549;1.66;18.78;0.52
262144;16;1.447986;0.001101;0.352014;1.80;20.50;0.46
262144;16;1.409170;0.001127;0.37083;1.78;20.31;0.40
262144;16;1.317390;0.001129;0.51261;1.83;20.73;0.55
262144;16;1.446224;0.001101;0.423776;1.87;21.09;0.48
262144;16;1.330963;0.001169;0.419037;1.75;19.76;0.52
262144;16;1.469169;0.001087;0.400831;1.87;20.97;0.55
262144;16;1.391466;0.001106;0.338534;1.73;19.37;0.51
262144;16;1.548572;0.001062;0.341428;1.89;21.50;0.53
262144;16;1.552871;0.001092;0.417129;1.97;22.52;0.47
262144;16;1.581160;0.001067;0.39884;1.98;22.44;0.51
262144;16;1.498651;0.001126;0.301349;1.80;20.47;0.56
262144;16;1.286682;0.001107;0.373318;1.66;18.67;0.41
262144;16;1.430441;0.001068;0.369559;1.80;20.47;0.49
262144;16;1.529282;0.001078;0.340718;1.87;21.05;0.43
262144;16;1.504720;0.002382;0.33528;1.84;20.58;0.48
262144;16;1.367892;0.001095;0.432108;1.80;20.37;0.45
262144;16;1.369284;0.001055;0.410716;1.78;20.10;0.47
262144;16;1.489206;0.001092;0.460794;1.95;22.26;0.53
262144;16;1.558034;0.001070;0.421966;1.98;22.45;0.53
262144;16;1.520936;0.001115;0.419064;1.94;22.21;0.50
262144;16;1.447171;0.001122;0.412829;1.86;21.10;0.48
262144;16;1.590161;0.001077;0.339839;1.93;21.89;0.39
262144;16;1.549313;0.001066;0.360687;1.91;21.55;0.56
262144;16;1.397983;0.001109;0.432017;1.83;20.76;0.50
262144;16;1.388558;0.001125;0.471442;1.86;21.04;0.51
262144;16;1.420155;0.001119;0.359845;1.78;20.10;0.57
262144;16;1.438123;0.001067;0.421877;1.86;20.80;0.49
262144;16;1.389318;0.001107;0.370682;1.76;19.60;0.57
262144;16;1.618473;0.001081;0.301527;1.92;21.87;0.51
262144;16;1.517291;0.001091;0.432709;1.95;22.03;0.62
262144;16;1.396793;0.001154;0.383207;1.78;20.40;0.31
262144;16;1.367476;0.001113;0.362524;1.73;19.62;0.45
262144;16;1.517983;0.001109;0.352017;1.87;21.31;0.55
262144;16;1.468693;0.001095;0.341307;1.81;20.65;0.51
262144;16;1.248099;0.001133;0.411901;1.66;18.82;0.48
262144;16;1.477935;0.001067;0.362065;1.84;20.80;0.63
262144;16;1.379196;0.001079;0.330804;1.71;19.26;0.44
262144;16;1.460046;0.001109;0.409954;1.87;21.01;0.44
262144;16;1.478831;0.001120;0.371169;1.85;20.62;0.64
262144;16;1.619883;0.001072;0.370117;1.99;22.55;0.55
262144;16;1.469390;0.001108;0.41061;1.88;21.31;0.50
262144;16;1.460168;0.001053;0.359832;1.82;20.65;0.44
262144;16;1.370059;0.001082;0.359941;1.73;19.69;0.48
262144;16;1.546695;0.001090;0.343305;1.89;21.22;0.60
262144;16;1.553357;0.001109;0.376643;1.93;21.94;0.49
262144;16;1.457282;0.001083;0.352718;1.81;20.45;0.56
262144;16;1.346816;0.001065;0.363184;1.71;19.44;0.40
262144;16;1.538035;0.001145;0.401965;1.94;22.11;0.54
262144;16;1.467300;0.001135;0.3727;1.84;20.82;0.62
262144;16;1.368948;0.001093;0.401052;1.77;20.09;0.44
262144;16;1.507154;0.001100;0.362846;1.87;21.20;0.53
262144;16;1.507916;0.001054;0.472084;1.98;22.84;0.36
262144;16;1.369786;0.001118;0.380214;1.75;19.79;0.60
262144;16;1.469271;0.001076;0.380729;1.85;20.90;0.47
262144;16;1.472231;0.001119;0.397769;1.87;21.25;0.44
262144;16;1.402144;0.001068;0.517856;1.92;21.88;0.50
262144;16;1.428321;0.001099;0.441679;1.87;21.09;0.53
262144;16;1.349907;0.001111;0.300093;1.65;18.66;0.46
262144;16;1.339847;0.001101;0.460153;1.80;20.45;0.50
262144;16;1.303524;0.001100;0.326476;1.63;18.20;0.39
262144;16;1.417928;0.001085;0.322072;1.74;19.60;0.55
262144;16;1.429831;0.001091;0.370169;1.80;20.51;0.42
262144;16;1.529183;0.001058;0.320817;1.85;21.06;0.45
262144;16;1.438159;0.001087;0.471841;1.91;21.73;0.56
262144;16;1.403172;0.001136;0.386828;1.79;20.28;0.57
262144;16;1.338720;0.001056;0.34128;1.68;19.00;0.50
262144;16;1.348719;0.001122;0.351281;1.70;19.15;0.46
262144;16;1.492227;0.001116;0.337773;1.83;20.78;0.47
262144;16;1.477449;0.001141;0.412551;1.89;21.38;0.33
262144;16;1.397908;0.001103;0.332092;1.73;19.58;0.50
262144;16;1.598080;0.001111;0.56192;2.16;24.73;0.55
262144;16;1.585913;0.001129;0.384087;1.97;22.38;0.49
262144;16;1.449862;0.001115;0.460138;1.91;21.66;0.53
262144;16;1.448714;0.001071;0.471286;1.92;21.62;0.62
262144;16;1.508004;0.001092;0.341996;1.85;21.19;0.45
262144;16;1.392824;0.001112;0.407176;1.80;20.39;0.61
262144;16;1.370442;0.001130;0.369558;1.74;19.80;0.41
262144;16;1.498096;0.001086;0.421904;1.92;21.96;0.46
262144;16;1.259256;0.001093;0.360744;1.62;18.21;0.45
262144;16;1.598267;0.001082;0.361733;1.96;22.35;0.51
262144;16;1.419102;0.001119;0.460898;1.88;21.27;0.46
262144;16;1.248258;0.001107;0.471742;1.72;19.47;0.54
262144;16;1.489302;0.001098;0.350698;1.84;20.63;0.51
262144;16;1.487460;0.001124;0.45254;1.94;22.32;0.36
262144;16;1.469266;0.001084;0.380734;1.85;20.88;0.61
262144;16;1.398730;0.001101;0.39127;1.79;20.41;0.42
262144;16;1.476576;0.001118;0.363424;1.84;20.78;0.54
262144;16;1.393935;0.001070;0.376065;1.77;19.87;0.49
262144;16;1.449076;0.001150;0.400924;1.85;20.86;0.62
262144;16;1.559288;0.001147;0.480712;2.04;23.31;0.47
