size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
4194304;4;0.042209;0.187854;0.287791;0.33;1.13;0.05
4194304;4;0.034679;0.174697;0.245321;0.28;0.97;0.02
4194304;4;0.034019;0.182985;0.275981;0.31;1.06;0.04
4194304;4;0.033121;0.178669;0.256879;0.29;1.00;0.05
4194304;4;0.030852;0.211674;0.289148;0.32;1.11;0.03
4194304;4;0.033246;0.183860;0.276754;0.31;1.09;0.02
4194304;4;0.036734;0.183474;0.283266;0.32;1.09;0.04
4194304;4;0.032619;0.184591;0.277381;0.31;1.01;0.11
4194304;4;0.033323;0.176841;0.266677;0.30;0.99;0.06
4194304;4;0.033335;0.161026;0.226665;0.26;0.84;0.05
