size;processes;read_time;local_sort_time;merge_time;elapsed;user;sys
16777216;16;0.637599;0.362910;1.232401;1.87;19.86;0.64
16777216;16;0.719887;0.327480;1.270113;1.99;21.44;0.58
16777216;16;0.677589;0.349191;1.432411;2.11;22.81;0.51
16777216;16;0.718716;0.312620;1.231284;1.95;20.83;0.61
16777216;16;0.634568;0.312473;1.195432;1.83;19.69;0.54
16777216;16;0.639403;0.315677;1.280597;1.92;20.67;0.67
16777216;16;0.773041;0.320222;1.166959;1.94;20.46;0.65
16777216;16;0.669722;0.321643;1.250278;1.92;20.27;0.56
16777216;16;0.618048;0.317646;1.141952;1.76;18.72;0.53
16777216;16;0.768428;0.309560;1.171572;1.94;21.09;0.60
